,CIK Number,Data Year - Fiscal,SIC_2,BigR,SmallR,RES_periodic,RES_annual,Industry Specialization (sale)_national,Industry Specialization (sale)_city,Office Size_sales,Big4,New Client,Tenure,Same MSA,INTEGRATED AUDIT,Historical is accelerated filer,Busy,WorkloadCompression,HI_pre_sq,Auditor resigned_revised,Log_AuditFee,Log_TaxFee,Log_AuditRelatedFee,Log_OtherFee,NonAuditFeeRatio,Influence,AbnormalLAF,Log Audit Report Lag,Due_to_Auditor,Going concern,SOX404auditorWeak,Disc. Accruals,Abs (Disc. Accruals),Abs(Accruals),Abs(Accruals/CFO),DD Residual,Small Profit,Prior ROA meet,Current Assets - Total,Accounts Payable - Trade,Assets - Total,Common/Ordinary Equity - Total,Cash and Short-Term Investments,Cost of Goods Sold,Common Shares Issued,Common Shares Outstanding,Debt in Current Liabilities - Total,Long-Term Debt - Issuance,Long-Term Debt - Total,Depreciation and Amortization,Income Before Extraordinary Items,Inventories - Total,Investment and Advances - Other,Short-Term Investments - Total,Current Liabilities - Total,Liabilities - Total,Net Income (Loss),Operating Activities - Net Cash Flow,Operating Income Before Depreciation,"Property, Plant and Equipment - Total (Gross)","Property, Plant and Equipment - Total (Net)",Preferred/Preference Stock (Capital) - Total,Retained Earnings,Receivables - Total,Sales/Turnover (Net),Sale of Common and Preferred Stock,Income Taxes Payable,Income Taxes - Total,Working Capital (Balance Sheet),Interest and Related Expense - Total,Price Close - Annual - Calendar
148,2186,2013,36,0,0,0,0,0.0170844667219748,0.5293841720833613,0.7429616344313131,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,1.0,1.0,0.05329311354444965,0.0,0.6406207455478562,0.0,0.0,0.0,0.0,0.053619961566075625,0.8242444827483564,0.5392499464667834,0.0,0.0,0.0,0.5162987073093094,0.019579691562565147,0.0021902748604686892,0.017759261945323342,0.030571482167722406,0.0,0.0,0.00016574719049788884,2.9831717710305756e-06,9.95314069668182e-06,0.2864857531084499,5.94536774443109e-05,7.545427910978269e-05,0.00014876433805392536,0.00014876433805392536,0.0,5.6926304832230045e-05,0.0,0.0039757199915913385,0.48645407868306306,0.00018500167820096854,0.0,0.0,2.4361695796218777e-05,7.628782225963182e-07,0.2274536744275175,0.2664650856997855,0.16994593339805006,1.2359856660868836e-05,4.135862079883483e-06,0.0017972015005206178,0.24968295035958604,6.791203910434432e-06,0.012385039418558171,0.004085837850219475,0.09564414126341221,0.5542194764781255,0.2600618055694247,0.0010826284457055538,2.379943502824859e-05
149,2186,2014,36,0,0,0,0,0.01946351229558194,0.4597557313044349,0.7548231786973064,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,1.0,1.0,0.07477620701815396,0.0,0.6411998355146915,0.0,0.0,0.0,0.0,0.03614190660549832,0.8190632571676824,0.5372471059972791,0.0,0.0,0.0,0.5054824708194493,0.001779359373316027,0.00557873970749326,0.024642249060631265,0.007031100817952337,0.0,0.0,0.00019100328776624532,4.405673678690419e-06,1.0819941269361129e-05,0.28648946319382484,8.500537736945292e-05,8.29228327021547e-05,0.00014959634112200233,0.00014959634112200233,0.0,5.6926304832230045e-05,0.0,0.003965559526312101,0.48645643525549953,0.00019358447744018413,0.0,0.0,3.512408990814768e-05,1.0999162387260784e-06,0.22745721950752132,0.2664879351311449,0.16995223272696577,1.3797439175171314e-05,5.073851853024522e-06,0.0017972015005206178,0.24968597894359704,7.798900130618444e-06,0.012392659291139542,0.004090419055823484,0.09564414126341221,0.5542241747513577,0.26008310865238027,0.0010826284457055538,3.389830508474576e-05
171,2491,2013,73,0,0,0,0,0.2153273004812974,0.8662912442178239,0.860462917160438,1.0,0.0,0.5789473684210527,1.0,1.0,1.0,0.0,0.05700555542117188,0.7428480960932716,0.0,0.7688166191530507,0.7541641925496352,0.5360155169988252,0.0,0.3023152937333261,0.07541952161746951,0.8473442509005723,0.5267388256474432,0.0,0.0,0.0,0.5021653505486279,0.008329968173670994,0.005736754386425269,0.01297274921036557,0.04659020208273925,0.0,0.0,0.002906237089588493,8.121449633069872e-05,0.00028647568775052527,0.2866660964090139,0.0005693962341130175,0.0008005632816218031,0.0007150628473770179,0.00042536156855436523,5.0824255238315475e-05,0.00168339215718166,0.00017225894439718874,0.007016747249667157,0.48714146293665184,0.001093339939584765,0.00033274820257721255,1.8476894956303192e-05,0.0022510266431249627,0.00025207307687573376,0.22848773225433186,0.2688109529631595,0.17335480943738657,0.000878232988956181,0.0005891050706856429,0.0017972015005206178,0.2508717153019067,0.0005933874114385461,0.014257227443353252,0.005858067278987952,0.0964502948909259,0.5551476478125572,0.2616627189391065,0.001213922885558477,0.0005540254237288136
194,2969,2013,28,0,0,0,0,0.1729215260784877,0.2089222624326747,0.8901550165659078,1.0,0.0,0.5789473684210527,0.0,1.0,1.0,0.0,0.1039344777510789,0.17423508884418287,0.0,0.8256188145648743,0.6346748732125401,0.751546596125975,0.0,0.1176470588235294,0.08519434068257647,0.8253128982749743,0.524530556103225,0.0,0.0,0.0,0.5130404934036137,0.013145410336215572,0.0027022650772907993,0.014729091098659414,0.03547786185473628,0.0,0.0,0.020270307904714624,0.0032202554223072165,0.005221895680858246,0.30083226239491845,0.003367083107046043,0.017562490619764948,0.002730885859830889,0.0023118628409662155,0.002513441637278141,0.007597221996324188,0.001501711897509492,0.035701772826010794,0.4913683797952085,0.014199178480668723,0.007491816410692563,0.0,0.03201539468724582,0.003011478635599772,0.23477273899809112,0.2845209808761448,0.19539842991600895,0.04092688446949853,0.035516962971171656,0.0017972015005206178,0.26578166577718726,0.004263844480475288,0.031981655176060934,0.015356997916049407,0.10012079869253179,0.5579705900298981,0.26129895548321386,0.002297029556044952,0.0007894067796610169
195,2969,2014,28,0,0,0,0,0.1848587058182144,0.2953599549944911,0.9015711977348045,1.0,0.0,0.631578947368421,0.0,1.0,1.0,0.0,0.08500975193402409,0.16751664226019192,0.0,0.8273533837671653,0.6346748732125401,0.751546596125975,0.0,0.1142857142857143,0.06626248468817217,0.8262767657988517,0.5199974375624172,0.0,0.0,0.0,0.5275791852307624,0.04185624227870276,0.005927798497886954,0.022860217188213194,0.008093885614910123,0.0,0.0,0.019419793357264487,0.002325617909079205,0.005201125231766032,0.30149467532148616,0.0025163565267414313,0.01786304785153803,0.002730896807239679,0.002337698725711764,0.002671809314579737,0.003805930094497666,0.0014328677193866156,0.03745007357578306,0.4912846014403998,0.013767641088752856,0.007169912082043573,0.0,0.02939075921994961,0.0029221195998450212,0.23475431342634562,0.29166878128676554,0.19693158316802428,0.0423803935539303,0.03772579036522235,0.0017972015005206178,0.2660158538815512,0.004187909078101233,0.032480768410494194,0.011134321446266691,0.10118666950898884,0.5586796021721887,0.26209981825807355,0.002228194170912349,0.0010185734463276836
217,3116,2013,28,0,0,0,0,0.1729215260784877,0.1221152018770175,0.8951220409428794,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7976181439857326,0.17853722882623224,0.0,0.7364512758607827,0.589417288660409,0.690597266676991,0.0,0.2005751258087707,0.016278431635513426,0.828457920178895,0.5560018084182031,0.0,0.0,1.0,0.5101761302678759,0.007488900824207453,0.0010102281764366276,0.0036087954844447297,3.32504660347056e-06,0.0,0.0,0.0009952552663810678,7.222101848624443e-05,0.00012632089817272705,0.2869538827997741,0.0002555618530254259,0.0004124494040527986,0.0010571803194885214,0.0010571803194885214,0.0,5.6926304832230045e-05,3.229855207447289e-05,0.004431224160885712,0.4867050218019695,0.0008947528249716304,4.947733813305379e-05,0.0,0.0006075049100323367,5.029926045066965e-05,0.2278311775414391,0.26710334725137835,0.17101835985312117,0.0002862130388314927,0.00032496398435892163,0.0017972015005206178,0.24972465636861021,0.0001552090969656882,0.012946084383333632,0.004243690260705456,0.09564414126341221,0.5545857953505401,0.2606073442378489,0.0011513986183680311,0.00017387005649717514
259,3197,2013,35,0,0,0,0,0.01839676474952655,0.04735448330554169,0.7677365310073885,0.0,0.0,0.15789473684210525,0.0,1.0,0.0,1.0,0.6300988083036246,0.17853722882623224,0.0,0.7279210426241528,0.6151620760793417,0.6703884905444372,0.0,0.1981242623253623,0.18924733326630908,0.8280979486265304,0.5542442218148624,0.0,0.0,0.0,0.5238000360387239,0.034393224379417484,0.004443571911028894,0.030374725669709172,0.011161924040689926,0.0,0.0,0.0007354210092099528,7.256329819471006e-05,0.00010196125696907076,0.286770171159151,0.00016946503382183877,0.000397832606528914,0.00028162209113527335,0.00028011134872218615,2.0486624435286054e-05,0.0008975326513019859,2.351037592841631e-05,0.004156926634433467,0.48648060849541913,0.0005831508622756405,0.0,0.0,0.0005885392901779514,5.220572331582103e-05,0.22749358421591823,0.2667210431613186,0.17018363018613092,7.119595968063035e-05,8.574493010590973e-05,0.0017972015005206178,0.24970598476564398,0.00010593705002901305,0.012713716870780045,0.0041511698257896985,0.09575563135081361,0.5542119470376472,0.26032659623334864,0.001093489944896477,0.0001140677966101695
260,3197,2014,35,0,0,0,0,0.01742163243287674,0.04877629386698162,0.7973107524864841,0.0,0.0,0.21052631578947367,0.0,1.0,1.0,1.0,0.6904210120314929,0.1669297124878083,0.0,0.7269682667047515,0.4297968266597417,0.6679394234534646,0.0,0.146112047622766,0.09429761026934741,0.8124136762076828,0.5611354888151727,0.0,0.0,1.0,0.5015595784794945,0.00952623949430416,0.0006756753540898675,0.008164455883045553,0.01941747254308643,0.0,0.0,0.0008426636439352146,0.00010011524463578613,0.00012121897377599158,0.28679230888865237,0.0001448029337478061,0.0005088759582073515,0.0002890663291128044,0.0002875555866997172,1.8349589937148475e-05,0.00034155782899338027,3.075148855487814e-05,0.004318828393245043,0.48651255205526434,0.0007637732350919814,0.0,0.0,0.0007474259527446585,6.832815662478993e-05,0.22754163810703046,0.26662971464162954,0.1702886928628709,7.164022716318447e-05,7.504313961403896e-05,0.0017972015005206178,0.24970876703228623,0.0001394393674915289,0.012840907753027344,0.004152115944338352,0.09567291977545654,0.5542514735493319,0.26034108898697184,0.0011053658602893548,0.0001097457627118644
341,3570,2013,49,0,0,0,0,0.1531412388933982,0.2390865027967604,0.9125643217602504,1.0,0.0,0.3157894736842105,1.0,1.0,1.0,1.0,0.9788530881447318,0.1551775019471283,0.0,0.7979606736615419,0.6476148628438055,0.811656707156974,0.0,0.3800392508183064,0.04451243740813056,0.8343590408017638,0.5128847812661165,0.0,0.0,0.0,0.5110260988989007,0.009167408547727001,0.004137886517259616,0.36201587481016445,0.017865259906526886,0.0,0.0,0.009378534914249892,3.2554254473972615e-05,0.0028298236150059762,0.28678915337202354,0.011653862708339052,0.0002776310677970711,0.002704677763186463,0.0026064795063357967,0.0,0.03668882455312851,0.0019531411121512647,0.006068565622591269,0.48396001175836556,0.00016882701743730721,0.0,0.0008540355286456846,0.0023509730791358343,0.0020026447226587436,0.2237017563254988,0.2658373203534107,0.16708756805807623,0.014207347178272807,0.025544979973720457,0.0017972015005206178,0.24576519423617357,1.0712145127358952e-05,0.012848620268436452,0.004267393020134897,0.09564414126341221,0.5542661541277686,0.2689059468887513,0.0037425726438296172,0.0003045197740112994
410,4187,2013,50,0,0,0,0,0.001566848891836395,1.0,0.6191903563968001,0.0,0.0,0.21052631578947367,1.0,0.0,0.0,1.0,1.0,0.33433867619297464,0.0,0.6252665296763993,0.0,0.4631568551247819,0.0,0.08267251560654632,0.47298981869507745,0.8300472431537879,0.5827156394785591,0.0,0.0,0.0,0.4946184780800511,0.023233440213162242,0.03859588222908123,0.14592883231307374,0.07818261258266945,0.0,0.0,0.00012931593327135168,2.0740894260691534e-05,1.2881188935611021e-05,0.2864583848338749,1.1938579514468063e-05,0.00039500587377182966,7.873376402118118e-05,7.73872327399513e-05,3.29743390678813e-06,8.382805003008962e-05,5.0160022619381385e-06,0.0040629598486441034,0.48638079466954093,0.0001403615324372273,0.0,0.0,9.023548316702045e-05,7.615886858389521e-06,0.22734343054664988,0.26650583635147296,0.16987373907905287,0.0001012762212116767,8.63821299096047e-05,0.0017972015005206178,0.24968473242842798,2.7382115063625748e-05,0.012596824782882847,0.0041081463296824775,0.09564414126341221,0.5542301299652206,0.25997644677890724,0.0010965404393323535,2.2387005649717515e-05
411,4187,2014,50,0,0,0,0,0.001429368081872492,1.0,0.6205494596198893,0.0,0.0,0.2631578947368421,1.0,0.0,0.0,1.0,1.0,0.36500059549270913,0.0,0.6269423632145656,0.0,0.5151733060261183,0.0,0.1162483071399326,0.4870697021147457,0.8289618545899133,0.6024259655989963,0.0,1.0,0.0,0.5063201114507225,0.00012519683389294653,0.015519748592324538,0.4643457950828917,0.0584195673952714,0.0,0.0,0.00011093232361440794,1.0874446150609352e-05,1.105514466471522e-05,0.2864552313636252,7.976496143980854e-06,0.00034265392895153223,8.812664076341888e-05,8.709758433711312e-05,3.301563442050232e-05,0.0001585804206040694,0.0,0.004033319318898465,0.486412850913723,0.00010831588537088241,0.0,0.0,0.00021113139048148074,6.238134063758214e-06,0.22739165395302216,0.2664352234192254,0.16987734773983876,9.977157945472454e-05,7.417638957050359e-05,0.0017972015005206178,0.24967318723478898,2.392442755929767e-05,0.012559480073010268,0.004235772742324614,0.09564605983088183,0.5542136555006407,0.2598745448130322,0.0010887801553874042,4.216101694915254e-05
443,4447,2013,29,0,0,0,0,0.371704157613319,0.754337001440229,0.9536776688813408,1.0,0.0,0.6842105263157895,1.0,1.0,1.0,1.0,0.7627768810330601,0.11153547187640084,0.0,0.8523282652593039,0.8139435014264933,0.9258689320809042,0.0,0.6500387242131944,0.08501474595749609,0.8450002057269862,0.5289099796555369,0.0,0.0,0.0,0.4825910163875972,0.046985125402741496,0.0004295808416509406,0.0024269172299529714,0.005462138698543354,0.0,0.0,0.050683128510313875,0.006622641331687879,0.012507320851951165,0.33700794813656715,0.013560850812699551,0.03702103559225698,0.0035613453432684285,0.0035613453432684285,0.000780482164537203,0.0044077224598669555,0.0016097301355737293,0.11912269637726859,0.5050560972024889,0.015247654514360606,0.0,0.0,0.06505048901938223,0.005266585347697209,0.26467965300963286,0.32261413181388265,0.23479508715654412,0.09629288124227248,0.11386879224911742,0.0017972015005206178,0.28868022407416394,0.008417367715992044,0.05534231621351778,0.010457099748282671,0.13259432956725645,0.5606199280004881,0.2734783274416995,0.004459185232210085,0.0005861581920903955
444,4447,2014,29,0,0,0,0,0.3765159883896464,0.7593261837126901,0.9532696114785912,1.0,0.0,0.7368421052631579,1.0,1.0,1.0,1.0,0.7779381420344079,0.11591821110772578,0.0,0.856432575763097,0.8217112091981678,0.8730036184441973,0.0,0.4596076458752515,0.06330096851649902,0.8520939541282543,0.524530556103225,0.0,0.0,0.0,0.5031902795487797,0.00630595083936091,0.006421415004091509,0.026043802061808646,0.03774435217719611,0.0,0.0,0.039413663404806835,0.002223248014620682,0.011285667395485147,0.33186130460762725,0.018270497083278686,0.010790343615044782,0.003129152591628799,0.003129152591628799,0.0001404041989114545,0.004920059203357026,0.0017579322273913105,0.12423796510405719,0.49473813139973544,0.008422970575543018,0.0,0.0,0.048118316900430495,0.004764838318467515,0.24452207752006544,0.3179312094858013,0.22779935001899296,0.09749156520463546,0.10890575775325724,0.0017972015005206178,0.2844723023583022,0.004950128588723832,0.033055925966028264,0.013146068254983928,0.1165352092659703,0.563292452254561,0.2721135986898604,0.0039737146212748846,0.0005213276836158191
